owner_occupancy_key,owner_occupancy_name
313,Owner-occupied as a principal dwelling
314,Owner-occupied as a principal dwelling
315,Owner-occupied as a principal dwelling
316,Not owner-occupied as a principal dwelling
317,Owner-occupied as a principal dwelling
318,Not owner-occupied as a principal dwelling
319,Owner-occupied as a principal dwelling
320,Owner-occupied as a principal dwelling
321,Owner-occupied as a principal dwelling
322,Owner-occupied as a principal dwelling
323,Owner-occupied as a principal dwelling
324,Owner-occupied as a principal dwelling
325,Owner-occupied as a principal dwelling
326,Owner-occupied as a principal dwelling
327,Owner-occupied as a principal dwelling
328,Owner-occupied as a principal dwelling
329,Owner-occupied as a principal dwelling
330,Owner-occupied as a principal dwelling
331,Owner-occupied as a principal dwelling
332,Owner-occupied as a principal dwelling
333,Owner-occupied as a principal dwelling
334,Owner-occupied as a principal dwelling
335,Owner-occupied as a principal dwelling
336,Owner-occupied as a principal dwelling
337,Owner-occupied as a principal dwelling
338,Owner-occupied as a principal dwelling
339,Owner-occupied as a principal dwelling
340,Owner-occupied as a principal dwelling
341,Owner-occupied as a principal dwelling
342,Owner-occupied as a principal dwelling
343,Owner-occupied as a principal dwelling
344,Owner-occupied as a principal dwelling
345,Owner-occupied as a principal dwelling
346,Owner-occupied as a principal dwelling
347,Owner-occupied as a principal dwelling
348,Owner-occupied as a principal dwelling
349,Owner-occupied as a principal dwelling
350,Owner-occupied as a principal dwelling
351,Owner-occupied as a principal dwelling
352,Owner-occupied as a principal dwelling
353,Owner-occupied as a principal dwelling
354,Owner-occupied as a principal dwelling
355,Owner-occupied as a principal dwelling
356,Owner-occupied as a principal dwelling
357,Owner-occupied as a principal dwelling
358,Owner-occupied as a principal dwelling
359,Owner-occupied as a principal dwelling
360,Owner-occupied as a principal dwelling
361,Not owner-occupied as a principal dwelling
362,Owner-occupied as a principal dwelling
363,Owner-occupied as a principal dwelling
364,Owner-occupied as a principal dwelling
365,Owner-occupied as a principal dwelling
366,Owner-occupied as a principal dwelling
367,Owner-occupied as a principal dwelling
368,Owner-occupied as a principal dwelling
369,Owner-occupied as a principal dwelling
370,Not owner-occupied as a principal dwelling
371,Owner-occupied as a principal dwelling
372,Owner-occupied as a principal dwelling
373,Owner-occupied as a principal dwelling
374,Owner-occupied as a principal dwelling
